Kansas,2006,235408,322138,1693284,4,22,25,17.282,67.092,14.546
Kentucky,2006,341772,430183,2710811,5,30,38,15.422,69.326,14.084
Louisiana,2006,372138,505392,2604053,4,31,53,10.804,61.746,20.45
Maine,2006,105652,127761,894906,2,10,14,15.127,81.008,15.309
Maryland,2006,478466,589416,3571216,6,34,69,13.531,57.957,19.216
Massachusetts,2006,510890,716472,4200845,8,59,96,15.266,82.989,22.782
Michigan,2006,888059,1095038,6401469,10,68,93,11.64,61.834,14.58
Minnesota,2006,436903,582894,3276237,8,35,54,17.363,59.868,16.58
Mississippi,2006,259663,330771,1756337,2,12,24,8.176,37.557,13.465
Missouri,2006,494026,633170,3701021,8,38,59,15.9,60.787,15.896
Montana,2006,79003,105557,611324,1,9,9,14.319,80.862,14.803
Nebraska,2006,149456,209102,1085658,2,12,14,12.434,58.342,12.689
Nevada,2006,211067,243884,1609285,4,16,27,20.57,66.161,16.926
New Hampshire,2006,111310,134161,868239,2,12,15,17.19,91.045,17.069
New Jersey,2006,727090,852072,5662105,10,48,80,13.145,56.052,14.149
New Mexico,2006,172181,226537,1198968,4,17,23,21.428,77.061,19.489
New York,2006,1579916,2179143,12397704,21,154,274,13.165,70.581,22.069
North Carolina,2006,728599,907260,5664014,9,62,106,12.693,68.36,18.757
North Dakota,2006,50947,88579,388842,1,4,4,13.167,47.265,10.989
Ohio,2006,971766,1226839,7315244,14,90,135,14.479,73.631,18.495
Oklahoma,2006,299621,410759,2202862,4,22,28,14.517,53.258,12.611
Oregon,2006,297325,387123,2436662,6,26,42,19.492,66.391,17.259
Pennsylvania,2006,1018244,1324878,8099649,14,80,120,13.372,60.24,14.806
Rhode Island,2006,85339,127016,683457,2,12,22,20.009,98.399,32.783
South Carolina,2006,362886,457237,2759373,4,26,43,11.774,56.74,15.736
South Dakota,2006,66722,91328,484977,1,5,6,12.132,54.732,11.385
Tennessee,2006,496587,620435,3921118,7,52,80,14.857,83.136,20.466
Texas,2006,2105817,2699382,13969152,43,156,233,20.397,57.928,16.687
Utah,2006,243193,370864,1398474,3,22,20,13.852,59.662,14.281
Vermont,2006,50946,68687,415768,1,7,8,15.856,104.732,19.788
Virginia,2006,617354,798995,4833297,9,64,92,15,79.88,19.036
Washington,2006,534929,672222,4127451,10,52,75,18.562,77.624,18.087
West Virginia,2006,136317,181656,1221268,2,15,19,15.685,82.734,15.591
Wisconsin,2006,467728,619449,3562535,8,42,59,17.004,68.015,16.548
Wyoming,2006,42925,59433,327096,1,5,5,15.969,81.63,15.737
Alabama,2007,383012,499641,2945019,4,20,36,10.322,39.479,12.175
Alaska,2007,62685,75733,402686,1,6,10,17.14,78.195,23.837
Arizona,2007,537098,672122,3970487,11,53,96,20.627,79.478,24.222
Arkansas,2007,232677,293615,1798383,3,16,29,12.307,54.446,15.952
California,2007,3209102,4257978,22463775,51,261,367,15.85,61.256,16.316
Colorado,2007,387018,520149,3099040,8,54,84,20.721,104.029,27.215
Connecticut,2007,292219,356482,2270009,5,23,39,16.193,64.365,16.973
Delaware,2007,69899,92374,555898,1,6,12,11.184,66.75,21.677
District of Columbia,2007,37001,84647,382077,0,5,16,5.966,54.765,42.654
Florida,2007,1368710,1777472,12159193,20,99,186,14.668,55.531,15.327
Georgia,2007,824664,999107,5874242,9,49,102,10.862,48.631,17.427
Hawaii,2007,95794,128777,828347,1,7,14,15.275,55.002,16.523
Idaho,2007,132932,163520,913888,2,9,8,14.132,52.301,8.318
Illinois,2007,1082534,1442935,8046718,13,74,133,11.709,51.219,16.569
Indiana,2007,535015,677663,4001008,7,43,64,13.011,63.822,15.875
Iowa,2007,244378,340717,1894591,3,14,13,11.354,41.571,6.888
Kansas,2007,232244,321431,1708875,3,19,18,14.25,57.721,10.28
Kentucky,2007,339631,425520,2745161,4,25,35,12.891,59.906,12.585
Louisiana,2007,370852,513946,2648484,4,26,63,9.517,51.336,23.778
Maine,2007,102760,125395,897986,1,10,16,13.37,78.49,17.782
Maryland,2007,469557,598009,3582541,5,29,63,10.346,48.269,17.675
Massachusetts,2007,506225,733229,4219456,7,47,64,13.374,63.518,15.177
Michigan,2007,869168,1086307,6405116,10,68,101,11.347,62.458,15.768
Minnesota,2007,429517,576248,3308617,7,37,57,15.626,63.755,17.255
Mississippi,2007,256834,329777,1764673,2,10,18,6.572,31.554,10.087
Missouri,2007,488564,623849,3738674,6,37,54,13.27,59.644,14.362
Montana,2007,78003,105436,621245,1,8,9,12.863,77.159,14.578
Nebraska,2007,147219,208669,1092664,2,10,10,12.084,45.601,9.084
Nevada,2007,213693,241972,1646368,5,17,31,21.226,69.532,19.044
New Hampshire,2007,109279,132548,872225,2,10,13,14.783,72.242,15.149
New Jersey,2007,715118,858459,5652902,9,44,72,11.887,50.874,12.687
New Mexico,2007,167079,226011,1217991,3,14,15,16.52,63.931,12.691
New York,2007,1559314,2218415,12500501,20,143,261,12.508,64.631,20.877
North Carolina,2007,730031,926614,5782173,8,57,128,10.589,61.232,22.094
North Dakota,2007,49767,89213,391328,1,4,3,10.729,42.105,8.632
Ohio,2007,956958,1210200,7350420,12,71,97,12.27,58.588,13.191
Oklahoma,2007,295908,408764,2229744,4,19,22,13.858,47.686,9.704
Oregon,2007,295639,383360,2477185,5,34,63,16.106,88.134,25.414
Pennsylvania,2007,998611,1325852,8116495,14,81,134,13.856,61.341,16.462
Rhode Island,2007,83372,126249,680188,1,13,23,16.264,100.485,33.242
South Carolina,2007,359862,460337,2817192,4,26,54,10.513,57.395,19.306
South Dakota,2007,66089,90910,494494,1,4,4,10.751,45.602,7.518
Tennessee,2007,496878,616545,3996018,6,42,76,11.553,67.902,18.985
Texas,2007,2107904,2702238,14256754,35,138,210,16.396,51.066,14.76
Utah,2007,248473,374336,1458451,3,20,15,13.56,52.184,10.198
Vermont,2007,49626,68089,417049,1,7,8,13.129,105.06,19.696
Virginia,2007,612162,820128,4873378,8,49,79,13.133,59.545,16.11
Washington,2007,528584,673412,4199736,8,46,71,15.208,67.938,16.99
West Virginia,2007,134149,177189,1224679,2,14,23,13.429,78.709,18.743
Wisconsin,2007,460365,613671,3601989,7,46,84,15.769,75.441,23.203
Wyoming,2007,42535,59260,332809,1,4,3,14.123,62.04,10.269
Alabama,2008,379377,505718,2974610,3,17,33,7.569,34.392,11.111
Alaska,2008,60678,77131,409778,1,6,10,14.459,73.797,23.906
Arizona,2008,538865,686141,4050064,7,47,68,13.783,69.123,16.814
Arkansas,2008,231516,295741,1818264,2,10,21,8.895,35.18,11.631
California,2008,3147890,4329856,22568441,44,241,352,13.912,55.71,15.601
Colorado,2008,384709,527605,3153539,5,47,81,13.726,89.401,25.627
Connecticut,2008,287870,363648,2276860,4,23,34,12.584,62.514,14.879
Delaware,2008,68911,93807,564013,1,6,11,9.11,64.001,18.703
District of Columbia,2008,35726,86607,385608,0,4,14,4.336,51.417,37.588
Florida,2008,1348640,1804515,12261205,14,85,179,10.519,47.033,14.56
Georgia,2008,822696,1013813,5963681,7,40,71,8.095,39.303,11.985
Hawaii,2008,93198,131005,828273,1,6,12,12.456,43.937,14.002
Idaho,2008,132962,164370,930335,2,7,7,12.449,45.157,7.502
