State,Year,Population.12-17
Alaska,2017,58106
Arizona,2017,556478
Arkansas,2017,236702
California,2017,3026428
Colorado,2017,430432
Connecticut,2017,272254
Delaware,2017,69413
District of Columbia,2017,31570
Florida,2017,1431798
Georgia,2017,866242
Hawaii,2017,95447
Idaho,2017,152823
Illinois,2017,995426
Indiana,2017,537556
Iowa,2017,245032
Kansas,2017,237064
Kentucky,2017,340220
Louisiana,2017,361940
Maine,2017,89705
Maryland,2017,452456
Massachusetts,2017,481835
Michigan,2017,762352
Minnesota,2017,434904
Mississippi,2017,241768
Missouri,2017,466292
Montana,2017,75436
Nebraska,2017,155993
Nevada,2017,229143
New Hampshire,2017,94983
New Jersey,2017,684290
New Mexico,2017,165877
New York,2017,1375507
North Carolina,2017,791658
North Dakota,2017,53301
Ohio,2017,896066
Oklahoma,2017,317113
Oregon,2017,294160
Pennsylvania,2017,916014
Rhode Island,2017,73039
South Carolina,2017,373712
South Dakota,2017,68252
Tennessee,2017,511356
Texas,2017,2463690
Utah,2017,306536
Vermont,2017,41544
Virginia,2017,629286
Washington,2017,541234
West Virginia,2017,125736
Wisconsin,2017,443580
Wyoming,2017,44389
Alabama,2018,371033
Alaska,2018,57444
Arizona,2018,562546
Arkansas,2018,237382
California,2018,3017701
Colorado,2018,433719
Connecticut,2018,268807
Delaware,2018,69325
District of Columbia,2018,31910
Florida,2018,1439529
Georgia,2018,868842
Hawaii,2018,95153
Idaho,2018,155001
Illinois,2018,984930
Indiana,2018,537380
Iowa,2018,245846
Kansas,2018,237062
Kentucky,2018,339761
Louisiana,2018,360378
Maine,2018,89221
Maryland,2018,450671
Massachusetts,2018,477554
Michigan,2018,753613
Minnesota,2018,438045
Mississippi,2018,241623
Missouri,2018,465766
Montana,2018,76259
Nebraska,2018,157259
Nevada,2018,231765
New Hampshire,2018,94278
New Jersey,2018,675646
New Mexico,2018,165707
New York,2018,1348363
North Carolina,2018,793730
North Dakota,2018,54491
Ohio,2018,889700
Oklahoma,2018,318276
Oregon,2018,295052
Pennsylvania,2018,910130
Rhode Island,2018,72481
South Carolina,2018,377471
South Dakota,2018,69325
Tennessee,2018,513011
Texas,2018,2485959
Utah,2018,312345
Vermont,2018,41066
Virginia,2018,629725
Washington,2018,545968
West Virginia,2018,124659
Wisconsin,2018,442510
Wyoming,2018,44908
